,Date,Year,Quarter,QuarterNumber,MonthNumber,MonthName,Day,DayOfWeek
0,2016-01-01,2016,Q1,1,1,January,1,Friday
1,2016-01-02,2016,Q1,1,1,January,2,Saturday
2,2016-01-03,2016,Q1,1,1,January,3,Sunday
3,2016-01-04,2016,Q1,1,1,January,4,Monday
4,2016-01-05,2016,Q1,1,1,January,5,Tuesday
5,2016-01-06,2016,Q1,1,1,January,6,Wednesday
6,2016-01-07,2016,Q1,1,1,January,7,Thursday
7,2016-01-08,2016,Q1,1,1,January,8,Friday
8,2016-01-09,2016,Q1,1,1,January,9,Saturday
9,2016-01-10,2016,Q1,1,1,January,10,Sunday
10,2016-01-11,2016,Q1,1,1,January,11,Monday
11,2016-01-12,2016,Q1,1,1,January,12,Tuesday
12,2016-01-13,2016,Q1,1,1,January,13,Wednesday
13,2016-01-14,2016,Q1,1,1,January,14,Thursday
14,2016-01-15,2016,Q1,1,1,January,15,Friday
15,2016-01-16,2016,Q1,1,1,January,16,Saturday
16,2016-01-17,2016,Q1,1,1,January,17,Sunday
17,2016-01-18,2016,Q1,1,1,January,18,Monday
18,2016-01-19,2016,Q1,1,1,January,19,Tuesday
19,2016-01-20,2016,Q1,1,1,January,20,Wednesday
20,2016-01-21,2016,Q1,1,1,January,21,Thursday
21,2016-01-22,2016,Q1,1,1,January,22,Friday
22,2016-01-23,2016,Q1,1,1,January,23,Saturday
23,2016-01-24,2016,Q1,1,1,January,24,Sunday
24,2016-01-25,2016,Q1,1,1,January,25,Monday
25,2016-01-26,2016,Q1,1,1,January,26,Tuesday
26,2016-01-27,2016,Q1,1,1,January,27,Wednesday
27,2016-01-28,2016,Q1,1,1,January,28,Thursday
28,2016-01-29,2016,Q1,1,1,January,29,Friday
29,2016-01-30,2016,Q1,1,1,January,30,Saturday
30,2016-01-31,2016,Q1,1,1,January,31,Sunday
31,2016-02-01,2016,Q1,1,2,February,1,Monday
32,2016-02-02,2016,Q1,1,2,February,2,Tuesday
33,2016-02-03,2016,Q1,1,2,February,3,Wednesday
34,2016-02-04,2016,Q1,1,2,February,4,Thursday
35,2016-02-05,2016,Q1,1,2,February,5,Friday
36,2016-02-06,2016,Q1,1,2,February,6,Saturday
37,2016-02-07,2016,Q1,1,2,February,7,Sunday
38,2016-02-08,2016,Q1,1,2,February,8,Monday
39,2016-02-09,2016,Q1,1,2,February,9,Tuesday
